playerId,playerName,minutes,groundRawWins,aerialRawWins,groundRawWinsPer90,aerialRawWinsPer90,groundWeightedWins,aerialWeightedWins,groundWeightedWinsPer90,aerialWeightedWinsPer90,groundBoxDuelsWon,aerialBoxDuelsWon,boxDuelsWon,groundWinsByCell,aerialWinsByCell,existingGroundRank,newGroundRank,existingAerialRank,newAerialRank,existingOverallRank,newOverallRank,groundRankDelta,aerialRankDelta,overallRankDelta
22097,Randal Kolo Muani,79.47,3,5,3.3977,5.6628,3.0,8.0,3.3977,9.0604,0,1,1,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":1,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":1,""d3l5"":0,""d4l1"":1,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":1,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":1,""d5l2"":0,""d5l3"":2,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":1,""d6l4"":0,""d6l5"":0}",5,5,3,3,3,1,0,0,2
11135,Ibrahima Konaté,7.53,0,1,0.0,11.9469,0.0,1.0,0.0,11.9469,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":1,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",17,17,1,1,1,2,0,0,-1
3604,Olivier Giroud,41.02,0,5,0.0,10.9711,0.0,5.0,0.0,10.9711,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":1,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":1,""d4l1"":1,""d4l2"":2,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",17,17,2,2,2,3,0,0,-1
24778,Eduardo Camavinga,49.55,4,0,7.2654,0.0,4.0,0.0,7.2654,0.0,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":1,""d2l5"":1,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":1,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":1,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",1,1,21,21,4,4,0,0,0
28263,Gonzalo Ariel Montiel,30.0,1,1,3.0,3.0,1.0,1.0,3.0,3.0,0,0,0,"{""d1l1"":0,""d1l2"":1,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":1,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",6,6,6,6,5,5,0,0,0
2972,Marcus Thuram,78.98,1,3,1.1395,3.4184,1.0,3.5,1.1395,3.9882,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":1,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":1,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":1,""d5l1"":0,""d5l2"":0,""d5l3"":1,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",11,11,4,4,8,6,0,0,2
16308,Leandro Daniel Paredes,18.38,1,0,4.8957,0.0,1.0,0.0,4.8957,0.0,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":1,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",2,2,21,21,6,7,0,0,-1
19597,Marcos Javier Acuña,56.15,1,2,1.6028,3.2057,1.0,2.0,1.6028,3.2057,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":1}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":1,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":1,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",9,9,5,5,7,8,0,0,-1
5507,Nicolás Alejandro Tagliafico,120.0,4,2,3.0,1.5,4.0,2.0,3.0,1.5,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":1,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":3,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":1,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":1,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",6,6,12,13,9,9,0,-1,0
38718,Enzo Fernandez,120.0,5,0,3.75,0.0,5.5,0.0,4.125,0.0,0,0,0,"{""d1l1"":0,""d1l2"":0,""d1l3"":1,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":1,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":1,""d3l2"":0,""d3l3"":0,""d3l4"":1,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":1,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}","{""d1l1"":0,""d1l2"":0,""d1l3"":0,""d1l4"":0,""d1l5"":0,""d2l1"":0,""d2l2"":0,""d2l3"":0,""d2l4"":0,""d2l5"":0,""d3l1"":0,""d3l2"":0,""d3l3"":0,""d3l4"":0,""d3l5"":0,""d4l1"":0,""d4l2"":0,""d4l3"":0,""d4l4"":0,""d4l5"":0,""d5l1"":0,""d5l2"":0,""d5l3"":0,""d5l4"":0,""d5l5"":0,""d6l1"":0,""d6l2"":0,""d6l3"":0,""d6l4"":0,""d6l5"":0}",3,3,21,21,11,10,0,0,1
