season_name,mode,scope,competition,competition_name,sessions,snapshot_available,snapshot_missing,verified_zero_shot_sessions,shots_total
2021/2022,europe,,ucl,UEFA Champions League,183,181,2,3,1874
2021/2022,europe,,uecl,UEFA Europa Conference League,189,167,22,2,1609
2021/2022,europe,,uel,UEFA Europa League,200,197,3,3,1909
2021/2022,league,3,all,LaLiga,170,170,0,0,5917
2021/2022,league,3,all,Premier League,200,199,1,0,7529
2021/2022,league,3,all,Serie A,192,192,0,0,7393
2021/2022,league,5,all,Bundesliga,181,181,0,0,6009
2021/2022,league,5,all,LaLiga,170,170,0,0,5917
2021/2022,league,5,all,Ligue 1,188,188,0,0,6770
2021/2022,league,5,all,Premier League,200,199,1,0,7529
2021/2022,league,5,all,Serie A,192,192,0,0,7393
2021/2022,league,7,all,Bundesliga,181,181,0,0,6009
2021/2022,league,7,all,Eredivisie,159,158,1,0,5601
2021/2022,league,7,all,LaLiga,170,170,0,0,5917
2021/2022,league,7,all,Ligue 1,188,188,0,0,6770
2021/2022,league,7,all,Premier League,200,199,1,0,7529
2021/2022,league,7,all,Primeira Liga,133,129,4,0,4418
2021/2022,league,7,all,Serie A,192,192,0,0,7393
2021/2022,league,8,all,Belgian Pro League,163,160,3,0,6152
2021/2022,league,8,all,Bundesliga,181,181,0,0,6009
2021/2022,league,8,all,Eredivisie,159,158,1,0,5601
2021/2022,league,8,all,LaLiga,170,170,0,0,5917
2021/2022,league,8,all,Ligue 1,188,188,0,0,6770
2021/2022,league,8,all,Premier League,200,199,1,0,7529
2021/2022,league,8,all,Primeira Liga,133,129,4,0,4418
2021/2022,league,8,all,Serie A,192,192,0,0,7393
2022/2023,europe,,ucl,UEFA Champions League,198,195,3,4,2078
2022/2023,europe,,uecl,UEFA Europa Conference League,175,156,19,2,1626
2022/2023,europe,,uel,UEFA Europa League,179,172,7,2,1740
2022/2023,league,3,all,LaLiga,172,171,1,0,6555
2022/2023,league,3,all,Premier League,178,177,1,0,7107
2022/2023,league,3,all,Serie A,204,204,0,0,7381
2022/2023,league,5,all,Bundesliga,171,171,0,0,5749
2022/2023,league,5,all,LaLiga,172,171,1,0,6555
2022/2023,league,5,all,Ligue 1,193,193,0,0,7008
2022/2023,league,5,all,Premier League,178,177,1,0,7107
2022/2023,league,5,all,Serie A,204,204,0,0,7381
2022/2023,league,7,all,Bundesliga,171,171,0,0,5749
2022/2023,league,7,all,Eredivisie,173,172,1,0,6483
2022/2023,league,7,all,LaLiga,172,171,1,0,6555
2022/2023,league,7,all,Ligue 1,193,193,0,0,7008
2022/2023,league,7,all,Premier League,178,177,1,0,7107
2022/2023,league,7,all,Primeira Liga,144,142,2,0,4875
2022/2023,league,7,all,Serie A,204,204,0,0,7381
