player_id,player_name,season_name,mode,scope,competition,competition_name,heatmap_key,reason
1650431,Ally Samatta,2021/2022,europe,,all,All European competitions,1650431:679:37725,snapshot_missing
313121,Amahl Pellegrino,2021/2022,europe,,all,All European competitions,313121:17015:37074,snapshot_missing
845763,André Castro,2021/2022,europe,,all,All European competitions,845763:679:37725,snapshot_missing
201939,Cédric Bakambu,2021/2022,europe,,all,All European competitions,201939:17015:37074,snapshot_missing
166717,Denis Popovič,2021/2022,europe,,all,All European competitions,166717:17015:37074,snapshot_missing
741561,Erik Botheim,2021/2022,europe,,all,All European competitions,741561:17015:37074,snapshot_missing
187294,Filip Valenčič,2021/2022,europe,,all,All European competitions,187294:17015:37074,snapshot_missing
580604,Gerson,2021/2022,europe,,all,All European competitions,580604:17015:37074,snapshot_missing
1042020,Gulzhigit Alykulov,2021/2022,europe,,all,All European competitions,1042020:17015:37074,snapshot_missing
212896,Henrik Ojamaa,2021/2022,europe,,all,All European competitions,212896:17015:37074,snapshot_missing
837064,Hugo Vetlesen,2021/2022,europe,,all,All European competitions,837064:17015:37074,snapshot_missing
643663,Ibrahima Wadji,2021/2022,europe,,all,All European competitions,643663:17015:37074,snapshot_missing
573663,José Kanté,2021/2022,europe,,all,All European competitions,573663:17015:37074,snapshot_missing
16511,Konstantin Vassiljev,2021/2022,europe,,all,All European competitions,16511:17015:37074,snapshot_missing
826089,Kyogo Furuhashi,2021/2022,europe,,all,All European competitions,826089:679:37725,snapshot_missing
574868,Lucas Lingman,2021/2022,europe,,all,All European competitions,574868:17015:37074,snapshot_missing
841927,Markus Poom,2021/2022,europe,,all,All European competitions,841927:17015:37074,snapshot_missing
783581,Martin Miller,2021/2022,europe,,all,All European competitions,783581:17015:37074,snapshot_missing
917779,Ola Solbakken,2021/2022,europe,,all,All European competitions,917779:17015:37074,snapshot_missing
530635,Patrick Berg,2021/2022,europe,,all,All European competitions,530635:17015:37074,snapshot_missing
1089731,Pedro Gonçalves,2021/2022,europe,,all,All European competitions,1089731:7:36886,snapshot_missing
431841,Rauno Sappinen,2021/2022,europe,,all,All European competitions,431841:17015:37074,snapshot_missing
66753,Riku Riski,2021/2022,europe,,all,All European competitions,66753:17015:37074,snapshot_missing
77872,Sergei Zenjov,2021/2022,europe,,all,All European competitions,77872:17015:37074,snapshot_missing
1636513,Souza,2021/2022,europe,,all,All European competitions,1636513:7:36886,snapshot_missing
310763,Ulrik Saltnes,2021/2022,europe,,all,All European competitions,310763:17015:37074,snapshot_missing
1000428,Ísak Bergmann Jóhannesson,2021/2022,europe,,all,All European competitions,1000428:17015:37074,snapshot_missing
1089731,Pedro Gonçalves,2021/2022,europe,,ucl,UEFA Champions League,1089731:7:36886,snapshot_missing
1636513,Souza,2021/2022,europe,,ucl,UEFA Champions League,1636513:7:36886,snapshot_missing
313121,Amahl Pellegrino,2021/2022,europe,,uecl,UEFA Europa Conference League,313121:17015:37074,snapshot_missing
201939,Cédric Bakambu,2021/2022,europe,,uecl,UEFA Europa Conference League,201939:17015:37074,snapshot_missing
166717,Denis Popovič,2021/2022,europe,,uecl,UEFA Europa Conference League,166717:17015:37074,snapshot_missing
741561,Erik Botheim,2021/2022,europe,,uecl,UEFA Europa Conference League,741561:17015:37074,snapshot_missing
187294,Filip Valenčič,2021/2022,europe,,uecl,UEFA Europa Conference League,187294:17015:37074,snapshot_missing
580604,Gerson,2021/2022,europe,,uecl,UEFA Europa Conference League,580604:17015:37074,snapshot_missing
1042020,Gulzhigit Alykulov,2021/2022,europe,,uecl,UEFA Europa Conference League,1042020:17015:37074,snapshot_missing
212896,Henrik Ojamaa,2021/2022,europe,,uecl,UEFA Europa Conference League,212896:17015:37074,snapshot_missing
837064,Hugo Vetlesen,2021/2022,europe,,uecl,UEFA Europa Conference League,837064:17015:37074,snapshot_missing
