player_id,player_name,team_name,league_id,league_name,season_name,reason
174031,Pontus Jansson,Brentford,47,Premier League,2021/2022,final_third_possessions_won_unavailable
247761,Conor Coady,Wolverhampton Wanderers,47,Premier League,2021/2022,final_third_possessions_won_unavailable
490868,Jan Bednarek,Southampton,47,Premier League,2021/2022,final_third_possessions_won_unavailable
202180,Grant Hanley,Norwich City,47,Premier League,2021/2022,final_third_possessions_won_unavailable
282676,Iñigo Martínez,Athletic Club,87,LaLiga,2021/2022,final_third_possessions_won_unavailable
269222,Lucas Alario,Bayer Leverkusen,54,Bundesliga,2021/2022,final_third_possessions_won_unavailable
616170,Martin Erlic,Spezia,55,Serie A,2021/2022,final_third_possessions_won_unavailable
163994,Steven Vitória,Moreirense,61,Liga Portugal,2021/2022,final_third_possessions_won_unavailable
178261,Dorian Dessoleil,Sporting Charleroi,40,First Division A,2021/2022,final_third_possessions_won_unavailable
207021,Trent Sainsbury,Kortrijk,40,First Division A,2021/2022,final_third_possessions_won_unavailable
40636,Luis Suárez,Atletico Madrid,42,Champions League,2021/2022,final_third_possessions_won_unavailable
210184,Wissam Ben Yedder,Monaco,73,Europa League,2021/2022,final_third_possessions_won_unavailable
563216,Almamy Touré,Eintracht Frankfurt,73,Europa League,2021/2022,final_third_possessions_won_unavailable
169586,Leandro Cabrera,Espanyol,87,LaLiga,2022/2023,final_third_possessions_won_unavailable
184521,Florian Lejeune,Rayo Vallecano,87,LaLiga,2022/2023,final_third_possessions_won_unavailable
301023,Armando Izzo,Monza,55,Serie A,2022/2023,final_third_possessions_won_unavailable
188555,Stefan de Vrij,Inter,55,Serie A,2022/2023,final_third_possessions_won_unavailable
493731,Jubal,Auxerre,53,Ligue 1,2022/2023,final_third_possessions_won_unavailable
492494,Pawel Bochniewicz,SC Heerenveen,57,Eredivisie,2022/2023,final_third_possessions_won_unavailable
1218555,André Amaro,Vitoria de Guimaraes,61,Liga Portugal,2022/2023,final_third_possessions_won_unavailable
1130889,Anderson,Vizela,61,Liga Portugal,2022/2023,final_third_possessions_won_unavailable
163994,Steven Vitória,Chaves,61,Liga Portugal,2022/2023,final_third_possessions_won_unavailable
