fotmob_player_id,player_name,competition_name,season_name,heatmap_key,reason
1966055,Andrej Ilić,Bundesliga,2025/2026,1966055:35:77333,snapshot_missing
1655748,Vinícius Souza,Bundesliga,2025/2026,1655748:35:77333,snapshot_missing
1320176,Wesley,LaLiga,2025/2026,1320176:8:77559,snapshot_missing
1650431,Ally Samatta,Ligue 1,2025/2026,1650431:34:77356,snapshot_missing
1585393,Raúl Jiménez,Premier League,2025/2026,1585393:17:76986,snapshot_missing
1285599,Giovane,Serie A,2025/2026,1285599:23:76457,snapshot_missing
41171,Marcus Pedersen,Serie A,2025/2026,41171:23:76457,snapshot_missing
741397,Jens Petter Hauge,UEFA Champions League,2025/2026,741397:7:76953,snapshot_missing
530635,Patrick Berg,UEFA Champions League,2025/2026,530635:7:76953,snapshot_missing
1358378,Lorenzo Scipioni,UEFA Champions League,2025/2026,1358378:7:76953,snapshot_missing
615292,Andreas Helmersen,UEFA Champions League,2025/2026,615292:7:76953,snapshot_missing
1179483,Jug Stanojev,UEFA Champions League,2025/2026,1179483:7:76953,snapshot_missing
1359647,Daniel Bassi,UEFA Champions League,2025/2026,1359647:7:76953,snapshot_missing
310763,Ulrik Saltnes,UEFA Champions League,2025/2026,310763:7:76953,snapshot_missing
1160076,Sondre Auklend,UEFA Champions League,2025/2026,1160076:7:76953,snapshot_missing
1681812,Youssoupha Sanyang,UEFA Champions League,2025/2026,1681812:7:76953,snapshot_missing
1684584,Dastan Satpaev,UEFA Champions League,2025/2026,1684584:7:76953,snapshot_missing
1082058,Kevin Rodriguez,UEFA Champions League,2025/2026,1082058:7:76953,snapshot_missing
1580774,Estêvão,UEFA Champions League,2025/2026,1580774:7:76953,snapshot_missing
1089731,Pedro Gonçalves,UEFA Champions League,2025/2026,1089731:7:76953,snapshot_missing
1607566,Franco Mastantuono,UEFA Champions League,2025/2026,1607566:7:76953,snapshot_missing
632870,Håkon Evjen,UEFA Champions League,2025/2026,632870:7:76953,snapshot_missing
626164,Ezequiel Fernández,Bundesliga,2025/2026,626164:35:77333,snapshot_missing
626164,Ezequiel Fernández,UEFA Champions League,2025/2026,626164:7:76953,snapshot_missing
850356,Pêpê,UEFA Champions League,2025/2026,850356:7:76953,snapshot_missing
1721789,Allan,Premier League,2021/2022,1721789:17:37036,snapshot_missing
1089731,Pedro Gonçalves,UEFA Champions League,2021/2022,1089731:7:36886,snapshot_missing
