fotmob_player_id,player_name,team_name,competition_name,season_name,reason
604870,Faïz Selamani,Kortrijk,Belgian Pro League,2021/2022,sportsapi_id_unresolved
351152,Ibrahima Seck,Zulte Waregem,Belgian Pro League,2021/2022,sportsapi_id_unresolved
500932,Joris Kayembe Ditu,Sporting Charleroi,Belgian Pro League,2021/2022,sportsapi_id_unresolved
1027594,Konan N’Dri,Eupen,Belgian Pro League,2021/2022,sportsapi_id_unresolved
437329,Mbwana Samatta,Royal Antwerp,Belgian Pro League,2021/2022,sportsapi_id_unresolved
560772,Michael Ngadeu-Ngadjui,Gent,Belgian Pro League,2021/2022,sportsapi_id_unresolved
470806,Núrio,Gent,Belgian Pro League,2021/2022,sportsapi_id_unresolved
929781,Yonas Malede,Gent,Belgian Pro League,2021/2022,sportsapi_id_unresolved
899291,Roberto Massimo,VfB Stuttgart,Bundesliga,2021/2022,sportsapi_id_unresolved
199560,Sebastian Andersson,1. FC Köln,Bundesliga,2021/2022,sportsapi_id_unresolved
861933,Nikolai Baden,Vitesse,Eredivisie,2021/2022,heatmap_request_failed
210282,Anthony Lozano,Cadiz,LaLiga,2021/2022,sportsapi_id_unresolved
1127224,Fer Niño,Mallorca,LaLiga,2021/2022,sportsapi_id_unresolved
202610,Fidel Chaves,Elche,LaLiga,2021/2022,sportsapi_id_unresolved
40636,Luis Suárez,Atletico Madrid,LaLiga,2021/2022,missing_heatmap_session
643668,Mamadou Loum Ndiaye,Deportivo Alaves,LaLiga,2021/2022,sportsapi_id_unresolved
687700,Maxi Gómez,Valencia,LaLiga,2021/2022,sportsapi_id_unresolved
1042107,Álex Cantero,Levante,LaLiga,2021/2022,sportsapi_id_unresolved
1138769,David Da Costa,Lens,Ligue 1,2021/2022,heatmap_request_failed
601145,Habibou Mouhamadou Diallo,Strasbourg,Ligue 1,2021/2022,sportsapi_id_unresolved
795179,Gabriel,Arsenal,Premier League,2021/2022,sportsapi_id_unresolved
848011,Joshua Sargent,Norwich City,Premier League,2021/2022,sportsapi_id_unresolved
852071,Juan Hernández,Watford,Premier League,2021/2022,sportsapi_id_unresolved
643230,Tyler Roberts,Leeds United,Premier League,2021/2022,sportsapi_id_unresolved
172875,Abel Issa Camara,,Primeira Liga,2021/2022,sportsapi_id_unresolved
919919,André,Arouca,Primeira Liga,2021/2022,heatmap_request_failed
45244,Antunes,Pacos de Ferreira,Primeira Liga,2021/2022,sportsapi_id_unresolved
242904,Arsénio,Arouca,Primeira Liga,2021/2022,sportsapi_id_unresolved
637582,Daniel Anjos,Tondela,Primeira Liga,2021/2022,heatmap_request_failed
453696,Denilson,Pacos de Ferreira,Primeira Liga,2021/2022,sportsapi_id_unresolved
848051,Juan Manuel Boselli,Tondela,Primeira Liga,2021/2022,sportsapi_id_unresolved
145020,Marcos Paulo,Vizela,Primeira Liga,2021/2022,sportsapi_id_unresolved
554283,Nuno Santos,Sporting CP,Primeira Liga,2021/2022,sportsapi_id_unresolved
875133,Pote,Sporting CP,Primeira Liga,2021/2022,sportsapi_id_unresolved
672721,Pêpê,Famalicao,Primeira Liga,2021/2022,sportsapi_id_unresolved
749737,Renat Dadashov,Tondela,Primeira Liga,2021/2022,sportsapi_id_unresolved
952234,Uilton,Pacos de Ferreira,Primeira Liga,2021/2022,heatmap_request_failed
792080,Walterson,Moreirense,Primeira Liga,2021/2022,sportsapi_id_unresolved
758460,Yan,Moreirense,Primeira Liga,2021/2022,sportsapi_id_unresolved
822236,Dennis Tørset Johnsen,Venezia,Serie A,2021/2022,sportsapi_id_unresolved
526450,Emmanuel Quartsin Gyasi,Spezia,Serie A,2021/2022,sportsapi_id_unresolved
857269,Gleison Bremer,Torino,Serie A,2021/2022,sportsapi_id_unresolved
875672,Hamed Traorè,Sassuolo,Serie A,2021/2022,heatmap_request_failed
203739,João Pedro,Cagliari,Serie A,2021/2022,sportsapi_id_unresolved
109338,Marco Davide Faraoni,Hellas Verona,Serie A,2021/2022,sportsapi_id_unresolved
613714,Jordan Pefok,Young Boys,UEFA Champions League,2021/2022,sportsapi_id_unresolved
694060,Meschack Elia,Young Boys,UEFA Champions League,2021/2022,sportsapi_id_unresolved
176989,Yaroslav Rakitskiy,Zenit St. Petersburg,UEFA Champions League,2021/2022,sportsapi_id_unresolved
602306,Alessio Da Cruz,KV Mechelen,Belgian Pro League,2022/2023,missing_heatmap_session
643635,Amir Murillo,Anderlecht,Belgian Pro League,2022/2023,missing_heatmap_session
1031319,Amirhossein Hosseinzadeh,Sporting Charleroi,Belgian Pro League,2022/2023,missing_heatmap_session
680011,Bart Nieuwkoop,Union St.Gilloise,Belgian Pro League,2022/2023,missing_heatmap_session
1100315,Billel Messaoudi,Kortrijk,Belgian Pro League,2022/2023,missing_heatmap_session
1256178,Bjorn Meijer,Club Brugge,Belgian Pro League,2022/2023,missing_heatmap_session
1280127,Boris Popovic,Cercle Brugge,Belgian Pro League,2022/2023,missing_heatmap_session
332300,Christian Burgess,Union St.Gilloise,Belgian Pro League,2022/2023,missing_heatmap_session
604870,Faïz Selamani,Kortrijk,Belgian Pro League,2022/2023,missing_heatmap_session
1075033,Gary Magnée,Eupen,Belgian Pro League,2022/2023,missing_heatmap_session
925345,Hyun-Seok Hong,Gent,Belgian Pro League,2022/2023,missing_heatmap_session
1210943,Jackson Tchatchoua,Sporting Charleroi,Belgian Pro League,2022/2023,missing_heatmap_session
401004,Jordi Vanlerberghe,KV Mechelen,Belgian Pro League,2022/2023,missing_heatmap_session
726442,Joseph Okumu,Gent,Belgian Pro League,2022/2023,missing_heatmap_session
873236,Jón Thorsteinsson,OH Leuven,Belgian Pro League,2022/2023,missing_heatmap_session
974314,Ken Nkuba,Sporting Charleroi,Belgian Pro League,2022/2023,missing_heatmap_session
1027594,Konan N’Dri,Eupen,Belgian Pro League,2022/2023,missing_heatmap_session
305791,Konstantinos Laifis,Standard Liege,Belgian Pro League,2022/2023,missing_heatmap_session
1178319,Louis Patris,OH Leuven,Belgian Pro League,2022/2023,missing_heatmap_session
924485,Mark McKenzie,Genk,Belgian Pro League,2022/2023,missing_heatmap_session
1180280,Marlon Fossey,Standard Liege,Belgian Pro League,2022/2023,missing_heatmap_session
1134871,Maxim De Cuyper,Westerlo,Belgian Pro League,2022/2023,missing_heatmap_session
