player_id,player_name,birth_date
2983,Jorge Molina,1982-04-22
11685,Antonio Candreva,1987-02-28
15403,Edin Dzeko,1986-03-17
19243,Diego Costa,1988-10-07
19533,Neymar,1992-02-05
21414,Óscar Trejo,1988-04-26
22543,Radamel Falcao,1986-02-10
24235,Leonardo Bonucci,1987-05-01
25496,Dimitri Payet,1987-03-29
25773,Ivan Rakitic,1988-03-10
26166,Karim Benzema,1987-12-19
26392,Kévin Gameiro,1987-05-09
30893,Cristiano Ronaldo,1985-02-05
30981,Lionel Messi,1987-06-24
31013,Theo Walcott,1989-03-16
31097,Luka Modric,1985-09-09
33871,Raúl García,1986-07-11
34633,Nenê,1983-07-28
35724,Zlatan Ibrahimovic,1981-10-03
36388,Mats Hummels,1988-12-16
37215,Bram van Polen,1985-10-11
37240,Scott Arfield,1988-11-01
37459,David Silva,1986-01-08
37549,João Moutinho,1986-09-08
38239,Ricardo Quaresma,1983-09-26
39540,Fabio Quagliarella,1983-01-31
39591,Axel Witsel,1989-01-12
40636,Luis Suárez,1987-01-24
40684,Artem Dzyuba,1988-08-22
40946,Marco Matias,1989-05-10
41098,Thomas Mangani,1987-04-29
41292,Ángel Rodriguez,1987-04-26
41365,Étienne Capoue,1988-07-11
41882,Domenico Criscito,1986-12-30
42211,Burak Yilmaz,1985-07-15
45220,Papu Gómez,1988-02-15
45244,Antunes,1987-04-01
46104,Dries Mertens,1987-05-06
46241,M'Baye Niang,1994-12-19
46469,Olivier Giroud,1986-09-30
46509,Ángel Di Maria,1988-02-14
49677,Édinson Cavani,1987-02-14
50047,Alexis Sánchez,1988-12-19
58294,Cristhian Stuani,1986-10-12
58346,Max Kruse,1988-03-19
66578,Teemu Pukki,1990-03-29
68404,Nicolas Viola,1989-10-12
71605,Anthony Modeste,1988-04-14
71768,Albin Ekdal,1989-07-28
72518,Juraj Kucka,1987-02-26
73024,Francesco Acerbi,1988-02-10
73167,Henrikh Mkhitaryan,1989-01-21
75307,Dani Parejo,1989-04-16
75310,Álvaro Negredo,1985-08-20
75489,Aaron Ramsey,1990-12-26
78411,Ismaël Traoré,1986-08-18
80497,Iván Marcano,1987-06-23
92666,Stevan Jovetic,1989-11-02
93358,Romain Thomas,1988-06-12
93447,Robert Lewandowski,1988-08-21
94086,Willian,1988-08-09
94267,Dusan Tadic,1988-11-20
94550,Moussa Sissoko,1989-08-16
94916,Lars Stindl,1988-08-26
95078,Toni Kroos,1990-01-04
95082,Eric Maxim Choupo-Moting,1989-03-23
95095,Simon Terodde,1988-03-02
95955,André Ayew,1989-12-17
98407,Jeremy Bokila,1988-11-14
102879,Salva Sevilla,1984-03-18
104045,Bas Dost,1989-05-31
107280,Ashley Barnes,1989-10-30
107920,Nils Petersen,1988-12-06
108038,Georginio Wijnaldum,1990-11-11
108381,Milan Djuric,1990-05-22
109338,Marco Davide Faraoni,1991-10-25
109491,Jay Rodriguez,1989-07-29
110148,Marko Arnautovic,1989-04-19
110161,Michiel Kramer,1988-12-03
113836,Danny Welbeck,1990-11-26
116011,El Fardou Ben Nabouhane,1989-06-10
116555,Duván Zapata,1991-04-01
116750,Ricky van Wolfswinkel,1989-01-27
116772,Thomas Müller,1989-09-13
117541,Tjaronn Chery,1988-06-04
119014,Darko Lazovic,1990-09-15
119525,Sebastian Rudy,1990-02-28
121086,Christian Gytkjær,1990-05-06
127374,Rafael Tolói,1990-10-10
127460,Giacomo Bonaventura,1989-08-22
128827,Lewis Holtby,1990-09-18
129944,Marco Reus,1989-05-31
130155,Danilo D'Ambrosio,1988-09-09
130589,Taison,1988-01-13
132035,Andriy Yarmolenko,1989-10-23
141114,Tobias Kempe,1989-06-27
143945,Rajiv van La Parra,1991-06-04
145020,Marcos Paulo,1988-07-13
147594,Bryan Linssen,1990-10-08
147951,Josip Ilicic,1988-01-29
148315,Christian Benteke,1990-12-03
148830,Benjamin André,1990-08-03
150201,Luuk de Jong,1990-08-27
150250,Pedro,1987-07-28
150509,Eran Zahavi,1987-07-25
150565,Pierre-Emerick Aubameyang,1989-06-18
150649,Sergio Canales,1991-02-16
154249,Mattia Destro,1991-03-20
154280,Jordan Ayew,1991-09-11
155254,Francesco Caputo,1987-08-06
155623,Ryad Boudebouz,1990-02-19
156556,Nélson Oliveira,1991-08-08
157723,Christian Eriksen,1992-02-14
158545,Michail Antonio,1990-03-28
159342,Mateusz Klich,1990-06-13
161291,Youssef El Arabi,1987-02-03
161328,Stephan El Shaarawy,1992-10-27
161660,Ciro Immobile,1990-02-20
163205,Gaël Kakuta,1991-06-21
163670,Ivan Perisic,1989-02-02
163994,Steven Vitória,1987-01-11
164031,Nicolás Gaitán,1988-02-23
164053,Pedro Tiba,1988-08-31
164246,Nick Viergever,1989-08-03
165526,Sebastián Coates,1990-10-07
165823,Chris Smalling,1989-11-22
166019,Wahbi Khazri,1991-02-08
166422,Andros Townsend,1991-07-16
166452,Genki Haraguchi,1991-05-09
166934,Stefan Schwab,1990-09-27
167008,Pascal Groß,1991-06-15
169162,Craig Dawson,1990-05-06
169193,Alexandre Lacazette,1991-05-28
169200,Kevin De Bruyne,1991-06-28
169586,Leandro Cabrera,1991-06-17
169719,Chris Wood,1991-12-07
169865,Martin Braithwaite,1991-06-05
171548,Håvard Nielsen,1993-07-15
171698,Joel Matip,1991-08-08
171980,Emil Forsberg,1991-10-23
172321,Joselu,1990-03-27
172875,Abel Issa Camara,1990-01-06
172899,Manolo Gabbiadini,1991-11-26
172949,Thiago Alcántara,1991-04-11
173461,Andrej Kramaric,1991-06-19
174031,Pontus Jansson,1991-02-13
174321,Nicolás Otamendi,1988-02-12
174472,Iago Aspas,1987-08-01
174850,Érik Lamela,1992-03-04
176300,Xherdan Shaqiri,1991-10-10
176953,Karim Onisiwo,1992-03-17
176989,Yaroslav Rakitskiy,1989-08-03
177714,Mario Götze,1992-06-03
178538,Filip Djuricic,1992-01-30
178781,Tolgay Arslan,1990-08-16
178818,Ilkay Gündogan,1990-10-24
178831,Fabian Klos,1987-12-02
178833,Sebastian Polter,1991-04-01
179083,Willian José,1991-11-23
179239,Michael de Leeuw,1986-10-07
179410,Idrissa Gana Gueye,1989-09-26
179515,Téji Savanier,1991-12-22
179772,Iker Muniain,1992-12-19
179823,Ryad Nouri,1985-06-07
179845,Romain Hamouma,1987-03-29
180330,Patrick van Aanholt,1990-08-29
180784,Marvin Peersman,1991-02-10
181197,Nicolas de Préville,1991-01-08
181276,Romelu Lukaku,1993-05-13
181995,Roberto Soriano,1991-02-08
182106,Ishak Belfodil,1992-01-12
183353,Kike García,1989-11-25
183500,Leandro Bacuna,1991-08-21
183530,Andy Delort,1991-10-09
184138,Antoine Griezmann,1991-03-21
184321,Callum Wilson,1992-02-27
184521,Florian Lejeune,1991-05-20
184536,Philippe Coutinho,1992-06-12
184595,Mislav Orsic,1992-12-29
185236,Joshua King,1992-01-15
185625,José Luis Palomino,1990-01-05
186991,Germán Pezzella,1991-06-27
187288,Mehdi Bourabia,1991-08-07
187358,Florian Kainz,1992-10-24
187360,Simone Verdi,1992-07-12
188058,Daniel Burn,1992-05-09
188498,Daniel Caligiuri,1988-01-15
188555,Stefan de Vrij,1992-02-05
188557,Jens Toornstra,1989-04-04
189982,Fabian Schär,1991-12-20
190666,Luke Ayling,1991-08-25
191315,Isco,1992-04-21
191873,Juanmi,1993-05-20
192316,Mathias Autret,1991-03-01
193441,Lorenzo Insigne,1991-06-04
193869,Rodrigo,1991-03-06
193927,Paulo Oliveira,1992-01-08
194165,Harry Kane,1993-07-28
194660,Lucas Pérez,1988-09-10
195199,Nicola Sansone,1991-09-10
195416,Antonio Caracciolo,1990-06-30
195742,Dominick Drexler,1990-05-26
195750,Nicolás Tagliafico,1992-08-31
195927,Enner Valencia,1989-11-04
196169,Marcos Alonso,1990-12-28
196308,Matej Vydra,1992-05-01
196484,Luis Muriel,1991-04-16
196489,Lennart Thy,1992-02-25
196972,Elbasan Rashani,1993-05-09
198235,Darko Brasanac,1992-02-12
198316,Michael Gregoritsch,1994-04-18
198510,Wilfried Zaha,1992-11-10
198559,Marten de Roon,1991-03-29
198566,Luis Alberto,1992-09-28
199291,Marco van Ginkel,1992-12-01
199560,Sebastian Andersson,1991-07-15
199834,Rémy Cabella,1990-03-08
201690,Lewis Dunk,1991-11-21
201939,Cédric Bakambu,1991-04-11
202180,Grant Hanley,1991-11-20
202610,Fidel Chaves,1989-10-27
202643,Wataru Endo,1993-02-09
203666,Hans Vanaken,1992-08-24
203739,João Pedro,1992-03-09
206322,Matías Vecino,1991-08-24
206508,Marcelo Brozovic,1992-11-16
207236,Granit Xhaka,1992-09-27
208077,Danilo,1991-07-15
208494,Casemiro,1992-02-23
208929,Brecht Dejaeghere,1991-05-29
209405,Virgil van Dijk,1991-07-08
209786,Steven Berghuis,1991-12-19
210184,Wissam Ben Yedder,1990-08-12
210276,Manuel Lanzini,1993-02-15
210278,Roberto Pereyra,1991-01-07
210282,Anthony Lozano,1993-04-25
210420,Anthony Losilla,1986-03-10
211118,Rafael Martins,1989-03-17
212156,Pavel Kaderábek,1992-04-25
212472,Sergi Roberto,1992-02-07
212645,Riccardo Saponara,1991-12-21
212689,James Tavernier,1991-10-31
212695,Tomané,1992-10-23
212819,Mark Uth,1991-08-24
212865,Nicolas Höfler,1990-03-09
212867,Heung-Min Son,1992-07-08
212893,Kevin Volland,1992-07-30
212982,Steven Skrzybski,1992-11-18
213486,Nolito,1986-10-15
213500,Álex Fernández,1992-10-15
213501,Álvaro Morata,1992-10-23
213516,Dani Rodríguez,1988-06-06
213682,Iiass Bel Hassani,1992-09-16
213704,Cristian Tello,1991-08-11
213729,Jonathan Viera,1989-10-21
214426,Danny Ings,1992-07-23
214449,Salvador Agra,1991-11-11
214570,Jeffrey Schlupp,1992-12-23
214972,Geoffrey Kondogbia,1993-02-15
215151,Marcel Sabitzer,1994-03-17
215299,Lucas Moura,1992-08-13
215384,Ross Barkley,1993-12-05
215584,David López,1989-10-09
230190,Felipe Anderson,1993-04-15
230907,Andreas Voglsammer,1992-01-09
230916,Ryan Fraser,1994-02-24
231176,Leonardo Pavoletti,1988-11-26
231521,Gianluca Lapadula,1990-02-07
237563,Stuart Armstrong,1992-03-30
237606,Leandro Paredes,1994-06-29
238438,Simon Zoller,1991-06-26
239259,Valère Germain,1990-04-17
239350,Cristiano Biraghi,1992-09-01
240054,Pablo Sarabia,1992-05-11
240235,Danilo Pereira,1991-09-09
240236,Massadio Haïdara,1992-12-02
240538,Ben Mee,1989-09-21
242156,Djibril Sidibé,1992-07-29
242709,Roberto Firmino,1991-10-02
242904,Arsénio,1989-08-30
243138,James Tarkowski,1992-11-19
243439,Thomas Bruns,1992-01-07
243829,Andre Hahn,1990-08-13
244811,Davide Zappacosta,1992-06-11
245311,Abdón Prats,1992-12-07
246438,Gerard Moreno,1992-04-07
246575,Raheem Sterling,1994-12-08
247761,Conor Coady,1993-02-25
248453,Paul Pogba,1993-03-15
248689,Michy Batshuayi,1993-10-02
251244,André Ramalho,1992-02-16
251269,Ante Budimir,1991-07-22
251925,Gerard Deulofeu,1994-03-13
252650,Gianluca Caprari,1993-07-30
253120,Virgil Misidjan,1993-07-24
253121,Paul Gladon,1992-03-18
254308,Florian Thauvin,1993-01-26
255610,Harry Maguire,1993-03-05
257865,William Carvalho,1992-04-07
258245,Branimir Hrgota,1993-01-12
259296,Robin Knoche,1992-05-22
259375,Mike van Duinen,1991-11-06
260470,Leonardo Bittencourt,1993-12-19
260964,Berat Djimsiti,1993-02-19
261313,Jordan Veretout,1993-03-01
261936,Mohamed Elyounoussi,1994-08-04
262550,Bobby Reid,1993-02-02
262592,Moi Gómez,1994-06-23
262739,Lukas Lerager,1993-07-12
263707,Alan Ruiz,1993-08-19
264190,Thorgan Hazard,1993-03-29
264860,Mike van der Hoorn,1992-10-15
265036,Kemar Roofe,1993-01-06
265710,Thiago Galhardo,1989-07-20
265725,Ante Rebic,1993-09-21
265924,Grégoire Defrel,1991-06-17
266520,Christian Nørgaard,1994-03-10
266523,Pierre-Emile Højbjerg,1995-08-05
266527,Yussuf Poulsen,1994-06-15
266995,Stéphane Bahoken,1992-05-28
267365,Marquinhos,1994-05-14
267368,Cláudio Winck,1994-04-15
267374,Hernani,1994-03-27
267380,Lucas Piazón,1994-01-20
267894,Guido Carrillo,1991-05-25
268282,Manu Trigueros,1991-10-17
269222,Lucas Alario,1992-10-08
275034,Silvan Widmer,1993-03-05
276121,Ben Davies,1993-04-24
276738,Antonio Rüdiger,1993-03-03
276739,Kevin Stöger,1993-08-27
276760,Florian Niederlechner,1990-10-24
276791,Niclas Füllkrug,1993-02-09
277341,Yoann Touzghar,1986-11-29
277460,Arkadiusz Milik,1994-02-28
277597,Florian Jozefzoon,1991-02-09
277609,Daryl van Mieghem,1989-12-05
277761,Chancel Mbemba,1994-08-08
278343,Riyad Mahrez,1991-02-21
278807,Robert Mühren,1989-05-18
278831,John Anthony Brooks,1993-01-28
278838,Thomas Lam,1993-12-18
278856,Willi Orbán,1992-11-03
279116,Mats Seuntjens,1992-04-17
279461,Kenny Lala,1991-10-03
279490,James Ward-Prowse,1994-11-01
281012,Filip Kostic,1992-11-01
281207,Kurt Zouma,1994-10-27
281558,Hernâni,1991-08-20
281993,Simy,1992-05-07
282007,Fabrício,1990-03-28
282012,Dennis Praet,1994-05-14
282281,Denis Suárez,1994-01-06
282472,Sergi Darder,1993-12-22
282676,Iñigo Martínez,1991-05-17
282692,Portu,1992-05-21
282770,Mauro Icardi,1993-02-19
282775,Jorginho,1991-12-20
286119,Jamie Vardy,1987-01-11
288406,Alejandro Grimaldo,1995-09-20
289001,Yunis Abdelhamid,1987-09-28
289251,Kalifa Coulibaly,1991-08-21
289472,Munas Dabbur,1992-05-14
290201,Philipp Hofmann,1993-03-30
290410,Michael Keane,1993-01-11
290604,Joel Pohjanpalo,1994-09-13
292313,Raul Jiménez,1991-05-05
292462,Mohamed Salah,1992-06-15
292678,Romain Saïss,1990-03-26
294859,Alassane Pléa,1993-03-10
295087,Mitchell Paulissen,1993-04-21
298448,Davy Klaassen,1993-02-21
298823,Mitchell Weiser,1994-04-21
298915,Maximilian Arnold,1994-05-27
298933,Robin Pröpper,1993-09-23
299799,Bryan Cristante,1995-03-03
299886,Kevin Lasagna,1992-08-10
300623,Roberto Torres,1989-03-07
300916,Joao Mário,1993-01-19
300918,Ricardo Esgaio,1993-05-16
301023,Armando Izzo,1992-03-02
302241,Patrick Bamford,1993-09-05
303059,Bertrand Traoré,1995-09-06
303088,Roger Martí,1991-01-03
303197,Tom Boere,1992-11-24
303339,Sadio Mané,1992-04-10
303824,Memphis Depay,1994-02-13
303879,Lucas Torró,1994-07-19
303905,Dominik Kohr,1994-01-31
303912,Matthias Ginter,1994-01-19
304000,Tonny Vilhena,1995-01-03
304345,Sead Kolasinac,1993-06-20
304348,Rani Khedira,1994-01-27
304354,Janik Haberer,1994-04-02
304668,Sander van de Streek,1993-03-24
304733,Hakan Çalhanoglu,1994-02-08
306167,Zé Luis,1991-01-24
307021,Emre Can,1994-01-12
307209,Lukas Kübler,1992-08-30
307235,Marko Pjaca,1995-05-06
309328,Milan Skriniar,1995-02-11
309334,Saúl,1994-11-21
309726,Andrea Belotti,1993-12-20
310214,Shoya Nakajima,1994-08-23
310768,Fredrik Aursnes,1995-12-10
312765,Jack Grealish,1995-09-10
314437,Christopher Jullien,1993-03-22
314605,Alberto Moreno,1992-07-05
316771,Óliver Torres,1994-11-10
317062,Adrien Thomasson,1993-12-10
317287,Elías Már Ómarsson,1995-01-18
318615,Leandro Trossard,1994-12-04
319305,Florian Tardieu,1992-04-22
319631,Joaquín Correa,1994-08-13
319824,Florent Mollet,1991-11-19
320618,Mateus Uribe,1991-03-21
320672,Younes Namli,1994-06-20
322049,Fred,1993-03-05
323380,Mattheus,1994-07-07
324578,Rodrigo De Paul,1994-05-24
324910,Abdul Rahman Baba,1994-07-02
325916,Paulo Dybala,1993-11-15
331540,Kerem Demirbay,1993-07-03
331542,Jonas Hofmann,1992-07-14
340790,Domen Crnigoj,1995-11-18
343748,Leon Goretzka,1995-02-06
343757,Marvin Ducksch,1994-03-07
348420,Renaud Ripart,1993-03-14
350634,Ondrej Duda,1994-12-05
351860,Aleksandar Mitrovic,1994-09-16
351898,Mark Diemers,1993-10-11
351999,Wout Weghorst,1992-08-07
352358,Brandley Kuwas,1992-09-19
352879,Adrien Rabiot,1995-04-03
352887,Abdoulaye Doucouré,1993-01-01
352968,Sébastien Haller,1994-06-22
352994,Raphaël Guerreiro,1993-12-22
354467,Yannick Carrasco,1993-09-04
355356,Marc-Oliver Kempf,1995-01-28
355901,Morgan Sanson,1994-08-18
356406,John McGinn,1994-10-18
357080,Lucas Ocampos,1994-07-11
358127,Léo Baptistão,1992-08-26
358676,Carlinhos,1994-06-22
359188,Fabinho,1993-10-23
359193,Lucas Vázquez,1991-07-01
359195,Rubén Sobrino,1992-02-16
359196,Raúl de Tomás,1994-10-17
359198,Óscar Plano,1991-02-11
359312,Niko Gießelmann,1991-09-26
359461,Mimoun Mahi,1994-03-13
360166,Opa Nguette,1994-07-08
360559,Hakim Ziyech,1993-03-19
360560,Oussama Tannane,1994-03-23
361321,Iuri Medeiros,1994-07-10
361322,Bruma,1994-10-24
361377,Paulinho,1992-11-09
361724,Ezequiel Ávila,1994-02-06
361757,João Cancelo,1994-05-27
362120,Danilo Cataldi,1994-08-06
362121,Edoardo Goldaniga,1993-11-02
362212,Piotr Zielinski,1994-05-20
364430,Kiril Despodov,1996-11-11
364520,Domenico Berardi,1994-08-01
365672,Sofiane Boufal,1993-09-17
369742,Jackson Irvine,1993-03-07
372978,Georgios Giakoumakis,1994-12-09
375790,João Pedro,1993-04-03
380942,Gervane Kastaneer,1996-06-09
384413,Rubén Garcia,1993-07-14
384446,Thom Haye,1995-02-09
385437,Serge Gnabry,1995-07-14
387439,Pedrinho,1992-12-20
387525,Cassiano,1989-06-16
388514,Gonçalo Paciência,1994-08-01
388523,André Silva,1995-11-06
388532,Ivo Rodrigues,1995-03-30
388903,Haris Tabakovic,1994-06-20
389845,Joshua Brenet,1994-03-20
391064,Neal Maupay,1996-08-14
395154,Alen Halilovic,1996-06-18
396949,Miha Zajc,1994-07-01
397019,Otávio,1995-02-09
400256,Rodinei,1992-01-29
400625,Vincenzo Grifo,1993-04-07
402419,Przemyslaw Frankowski,1995-04-12
406267,Jeremy Dudziak,1995-08-28
407765,Alexander Djiku,1994-08-09
408780,Henk Veerman,1991-02-26
408943,Takumi Minamino,1995-01-16
408987,Ivan Toney,1996-03-16
411617,Aymeric Laporte,1994-05-27
411851,Robert Andrich,1994-09-22
412357,Paul Onuachu,1994-05-28
412708,Richairo Zivkovic,1996-09-05
413158,Chuba Akpom,1995-10-09
413160,Andrea Petagna,1995-06-30
413557,Anthony Martial,1995-12-05
414245,Federico Bernardeschi,1994-02-16
414906,Giovanni Di Lorenzo,1993-08-04
415386,Cristian Buonaiuto,1992-12-29
415539,Matteo Politano,1993-08-03
416850,Solly March,1994-07-20
417068,Nathan Aké,1995-02-18
417818,Danny Bakker,1995-01-16
419774,Sven Michel,1990-07-15
420731,Gautier Lloris,1995-07-18
421786,Mario Lemina,1993-09-01
422121,Joris van Overeem,1994-06-01
422685,Bruno Fernandes,1994-09-08
422812,Tiago Silva,1993-06-02
423624,Patrick Mainka,1994-11-06
423802,Sargis Adamyan,1993-05-23
424129,Leander Dendoncker,1995-04-15
424614,Caleb Ekuban,1994-03-23
424875,Bruno Petkovic,1994-09-16
425950,Abdellah Zoubir,1991-12-05
425990,Mirko Ivanic,1993-09-13
426202,Divock Origi,1995-04-18
426880,Maxwel Cornet,1996-09-27
426906,Karl Toko Ekambi,1992-09-14
428815,Flavien Tait,1993-02-02
428947,Santi Mina,1995-12-07
429265,Kingsley Coman,1996-06-13
430856,Takuma Asano,1994-11-10
432591,Ricardo Horta,1994-09-15
432950,Ángel Correa,1995-03-09
433677,Ui-Jo Hwang,1992-08-28
434325,Thomas Partey,1993-06-13
434404,Gonzalo Escalante,1993-03-27
434593,Antonio Puertas,1992-02-21
435669,Rony Lopes,1995-12-28
435719,Komnen Andric,1995-07-01
435902,João Camacho,1994-06-23
437329,Mbwana Samatta,1992-12-23
438507,Federico Di Francesco,1994-06-14
438572,Simon Gustafson,1995-01-11
439148,Morten Thorsby,1996-05-05
439366,Abdoulaye Touré,1994-03-03
439369,Ryan Christie,1995-02-22
440330,Alexander Sørloth,1995-12-05
441309,Sardar Azmoun,1995-01-01
441871,Benjamin Bourigeaud,1994-01-14
442277,Miguel Almirón,1994-02-10
442581,Aleksey Miranchuk,1995-10-17
442728,Tim Kleindienst,1995-08-31
443733,Marcus Ingvartsen,1996-01-04
445226,Jean-Philippe Gbamin,1995-09-25
445856,Wesley Saïd,1995-04-19
446266,Mario Pasalic,1995-02-09
447084,Niklas Süle,1995-09-03
447107,Adrien Hunou,1994-01-19
447959,Robert Skov,1996-05-20
448540,Serhou Guirassy,1996-03-12
449241,Adnan Januzaj,1995-02-05
449283,Alessandro Deiola,1995-08-01
449834,Welinton Júnior,1993-06-08
450011,Talisca,1994-02-01
450976,Yannick Gerhardt,1994-03-13
450980,Timo Werner,1996-03-06
451966,Antonín Barák,1994-12-03
451984,Jason,1994-07-06
453696,Denilson,1995-07-18
458630,Ihlas Bebou,1994-04-23
459000,Alexander Hack,1993-09-08
459658,Ruslan Malinovsky,1993-05-04
460632,Joshua Kimmich,1995-02-08
461357,Alessandro Schöpf,1994-02-07
463268,Andrija Zivkovic,1996-07-11
463291,Luka Jovic,1997-12-23
463301,Sergej Milinkovic-Savic,1995-02-27
464251,Mahir Emreli,1997-07-01
464486,Enes Ünal,1997-05-10
464981,Matús Bero,1995-09-06
465750,Timothy Castagne,1995-12-05
465960,Youri Tielemans,1997-05-07
466113,Jari Vandeputte,1996-02-14
466132,Théo Bongonda,1995-11-20
466478,Jonathan Bamba,1996-03-26
466482,Allan Saint-Maximin,1997-03-12
466672,Jefferson Lerma,1994-10-25
466890,Alireza Jahanbakhsh,1993-08-11
467480,Bas Kuipers,1994-08-17
467486,Moses Simon,1995-07-12
468931,Thomas Lemar,1995-11-12
469202,Kieffer Moore,1992-08-08
469615,Giovanni Simeone,1995-07-05
469700,Jonathan Tah,1996-02-11
469763,Kenan Karaman,1994-03-05
469852,Nabil Fekir,1993-07-18
469939,Liam Henderson,1996-04-25
470847,Ignacio Pussetto,1995-12-21
471153,Ludovic Ajorque,1994-02-25
473852,Corentin Tolisso,1994-08-03
474448,Antonio Sanabria,1996-03-04
474589,José Giménez,1995-01-20
474658,Álvaro Garcia,1992-10-27
477023,Rafa Silva,1993-05-17
477205,Sandro Lima,1990-10-28
477362,Euller,1995-01-04
477472,José Luis Morales,1987-07-23
477588,Álex Moreno,1993-06-08
477615,Sandro Ramírez,1995-07-09
478112,Samuel Gigot,1993-10-12
478447,Adam Marusic,1992-10-17
478527,Steve Mounié,1994-09-29
479020,Ayoze Pérez,1993-07-29
480014,Pietro Ceccaroni,1995-12-21
480021,Patrick Ciurria,1995-02-09
481044,Saîf-Eddine Khaoui,1995-04-27
482331,Adrián Embarba,1992-05-07
482512,Sergio León,1989-01-06
485634,Roberto Gagliardini,1994-04-07
486835,Damon Mirani,1996-05-13
488139,Bernardo Silva,1994-08-10
488140,João Teixeira,1994-02-06
488412,Clément Lenglet,1995-06-17
488958,Keita Baldé,1995-03-08
488970,Sinan Bakis,1994-04-22
490489,Robert Glatzel,1994-01-08
490656,Rafael Ratão,1995-11-30
490868,Jan Bednarek,1996-04-12
491827,Sammie Szmodics,1995-09-24
491883,Saïd Benrahma,1995-08-10
492158,Gaëtan Laborde,1994-05-03
492494,Pawel Bochniewicz,1996-01-30
492586,Demarai Gray,1996-06-28
493165,James Maddison,1996-11-23
493216,Ezequiel Ponce,1997-03-29
493647,Adama Traoré,1996-01-25
493731,Jubal,1993-08-29
494417,Harry Wilson,1997-03-22
